Distance,Accuracy,Time (s)
Euclidean,0.7466666666666667,0.003139019012451172
Manhattan,0.8066666666666666,0.010863065719604492
Minkowski,0.7466666666666667,0.017416954040527344
DTW,0.9466666666666667,0.2444000244140625
ADTW,0.8933333333333333,0.4610159397125244
DDTW,0.98,0.22949910163879395
WDTW,0.9533333333333334,0.43505382537841797
WDDTW,0.9933333333333333,0.42159485816955566
ERP,0.9733333333333334,0.44252705574035645
EDR,0.92,0.24695515632629395
LCSS,0.6533333333333333,0.4008791446685791
MSM,0.96,0.6510539054870605
TWE,0.9733333333333334,0.5351901054382324
Shape_DTW,0.92,0.8730740547180176
SBD,0.8,0.30786800384521484
